14963
a	a.一,一个,一只,一件.
ammunition	n.军火,弹药1)弹药(2)军火,军需品(3)[喻]攻击[防御]手段(4)投掷[射击]物
among	prep.在...之中
amongst	prep.在...之中,在...之间(=among)
amortization	n.分期偿还
amount	n.数量,总额v.总计,等于
ampere	n.安培
ampersand	＆(=and)号
amphibian	a.两栖类的,水陆两用的n.两栖动物,水陆两用飞机,水陆两用车
ample	a.充足的,丰富的
amplification	n.扩大,扩充，膨胀n.详述,引伸，推广n.增幅,放大(率),放大倍数[系数]
amplifier	n.放大器,扩音机
amplify	v.扩大,详述,使...增幅
amplitude	n.广阔,充足,增幅n.振幅、波幅（物理）
amputate	v.切断
amputation	n.截肢
amuse	v.消遣,娱乐,使...发笑
amused	a.有趣的
amusement	n.娱乐,消遣
an	art.一
anabolism	n.同化,同化作用
analgesia	n.无痛,止痛法
analgesic	a.止痛的n.镇痛剂
analog	n.类似(模拟量)
analogue	n.类似物,模拟
analogy	n.相似,类似
analysis	n.分析,解析
analyst	n.分析家,分解者,分析者
analytic	a.分析的
analytical	a.分析的,解析的
analyze	v.分析,分解vt.分析
analyzer	分析机
anatomically	ad.解剖学上,结构上
anatomy	n.剖析,解剖学,骨骸
ancestor	n.祖宗,祖先
anchor	n.铁锚v.停泊,抛锚,用锚系住v.担任（广播，电视新闻节目）的主持人
ancient	a.古代的,古老的n.古人
and	conj.和逻辑与
anecdote	n.轶事,奇闻
anesthesia	n.麻醉
anesthesiologist	n.麻醉学家
anesthetic	n.麻醉剂,麻药a.麻醉的
anesthetist	n.麻醉医生
anesthetize	vt.使麻醉,使麻木
angel	n.天使
anger	n.忿怒v.激怒,使...发怒
angle	n.角度n.盎格鲁人
angry	a.生气的
angstrom	埃(长度单位)
anguish	n.苦闷,痛苦v.使...极苦闷,使...极痛苦
animal	a.动物的,野兽的n.动物
animation	n.活泼,生气,卡通制作
ankle	n.踝,踝关节
annihilate	v.消减,废止
anniversary	n.周年纪念(日)
annotate	v.注解
annotation	n.注解,评注
announce	v.发表,广播（电台节目）,通告,正式宣布vi.当电台的播音员vt.宣布,宣告
announcement	n.公告,发表,告知
announcer	n.广播员,告知者
annoy	v.使...苦恼,骚扰
annoyed	adj.烦闷的
annual	a.每年的,年度的n.年刊,年鉴
annuity	n.年金,养老金
anode	n.阳极
anonymous	a.匿名的,无名的
another	a.另一,再一pron.&prep.另一个
anoxia	n.缺氧症
ansi	美国国家标准学会
answer	n.答案,回答v.回答,符合
ant	n.蚂蚁
antagonism	n.对抗,敌对
antagonist	n.敌手,对手
antagonistic	a.对抗性的
antarctic	a.南极的n.(theA-)南极洲,南极圈
antecedent	n.前情,先行词a.在...之前的,居先的
antenna	n.触角,天线
anthem	n.圣歌,赞美诗
anthology	n.诗选,文选
anthrax	n.炭疽病
anthropology	n.人类学
antibacterial	a.抗菌的n.抗菌剂
antibiotic	a.抗菌的n.抗生素
antibody	n.抗体
anticipate	v.预期,期待;占....之先,抢....之先;提前使用
anticipation	n.预期,预料
anticoagulant	a.抗凝的
antidote	n.解毒剂,解药
antigen	n.抗原
antihistamine	n.抗组织胺
antique	a.古代的n.古物,古董
antisepsis	n.防腐法,抗菌法
antiseptic	n.杀菌剂,防腐剂a.杀菌的,防腐的
antiserum	n.抗血清
antitoxin	n.抗毒素
antonym	n.反义词
ants	机载夜间电视系统
anus	n.肛门
anxiety	n.焦虑,挂念,担心,渴望,热望
anxious	a.焦急的,忧虑的
any	a.任何的ad.稍det.一些prep.无论哪个pron.任何
anybody	n.重要人物pron.任何人
anyhow	ad.不管怎样
anyone	pron.任何人
anything	int.任何事
anyway	ad.不管怎样
anywhere	ad.任何地方pron.任何(一个)地方
aorta	n.主动脉
apart	ad.分别地,分开的
apartment	n.一套公寓房间
ape	n.猿
aperture	n.孔,穴,缝隙
apologetic	a.道歉的,认错的,赔罪的
apologize	v.道歉vi.道歉,谢罪vt.道歉,谢罪,辩白
apology	n.道歉；勉强的替代物
apostrophe	n.省略符号,顿呼法
appal	v.使...惊骇,使...惊恐,使...吓坏
appalling	a.令人震惊的
apparatus	n.装置,器具,器官
apparent	a.明显的,表面上的
apparently	a.显然,似乎ad.显然
appeal	n.恳求,上诉,吸引力v.求助,诉请,呼吁
appear	v.出现,显得
appearance	n.外表,出现,出场
appearances	出现
append	v.附加,添加,悬挂n.[计算机]DOS命令建立数据文件的子目录搜索路经
appendectomy	n.阑尾切除术
appendicitis	n.阑尾炎,盲肠炎
appendix	n.附录
appetite	n.爱好,嗜好,食欲,胃口,欲望
applaud	v.拍手喝采,称赞,赞同
applause	n.鼓掌,喝彩,赞许v.鼓掌
apple	n.苹果
appliance	n.器具,器械,装置
applicable	a.合适的,适用的
applicant	n.申请人
application	n.申请n.应用软件程序
applied	a.应用的v.应用,适用vbl.应用
apply	v.应用,申请,涂
appoint	v.任命,指定,约定（时间，地点）
appointment	n.约会,预约
apportion	v.分配,分摊,分派
appraisal	n.估计,估量,评价
appreciable	a.可感知的,可评估的
appreciate	v.欣赏,感激,赏识v.　增值v.领会，充分意识
appreciation	n.赏识,鉴识,感激
apprehension	n.理解,忧惧,逮捕
apprentice	n.学徒v.使当学徒
approach	n.途径,方法v.靠近,接近,动手处理
appropriate	a.适当的v.拨出（款项）
appropriately	ad.适当地
approval	n.批准,认可,同意,赞同
approve	v.赞同,核准,证实
approximate	a.大约的,近似的v.接近,约等于
approximately	ad.近似地,大约
approximation	n.近似值
april	n.四月
apron	n.围裙
apt	a.倾向于,易于
aptitude	n.才能,资质
aquarium	n.水族馆,养鱼池,玻璃缸
aquatic	n.水生动物,水草a.水生的,水中的,水上的
arab	n.阿拉伯人,阿拉伯马a.阿拉伯人的,阿拉伯的
arabian	a.阿拉伯(人)的n.阿拉伯人
arabic	n.阿拉伯语a.阿拉伯语的,阿拉伯人的,阿拉伯式的
arbitrage	n.仲裁,套利交易,套汇
arbitrary	a.任意的,恣意的,专制的
arc	n.弧
arch	n.拱门,弓形v.成弓形弯曲,成弓形
archaeology	n.考古学
archaic	a.已废的,古老的,古代的
architect	n.建筑师
architecture	n.建筑学,建筑业[总称]建筑物,建筑风格
archive	n.档案文件n.（计算机压缩类软件的）压缩包vt.归档(编档保存)
archives	n.档案
arctic	a.北极的,极寒的n.北极圈,北极地方
ardent	a.热心的,激烈的,燃烧般的
arduous	a.费力的,辛勤的,险峻的
area	n.地区,区域,面积,方面
arena	n.竞技场
argue	v.争论,辩论,争吵,劝说
argument	n.辩论,争论,论据,理由
arise	v.站立,出现
arithmetic	n.算术
arm	n.手臂,袖子v.武装,装备
armchair	n.扶手椅
armour	n.甲胄,铁甲,防护具
arms	n.武器
army	n.军队,陆军
around	ad.大约,到处,在周围prep.在...周围
arouse	v.唤醒,鼓励,引起
arrange	v.安排,整理,排列n.安排,排列
arrangement	n.安排
array	n.数组,排列,陈列,大批,一系列v.排列,布署,打扮
arrears	n.到期未付之债,拖欠的款项,待做的工作
arrest	n.逮捕,监禁v.拘捕,妨碍,吸引
arrival	n.到达,到来
arrive	v.到达
arrogant	a.傲慢的,自大的
arrow	n.箭v.箭(头),射箭
arsenal	n.兵工厂,军械库n.音译阿森那（英国－足球队名）
art	a.美术(品)的,艺术(品)的n.艺术
artery	n.动脉,主流,干道
arthritis	n.关节炎
article	n.文章,物品,条款,冠词
articulate	a.有关节的,发音清晰的v.以关节连接,接合,明白地说
articulation	n.关节,接合,清晰发音
artifacts	n.史前古器物
artificial	a.人造的,虚伪的,武断的
artificially	ad.人工地,人为地,不自然地
artillery	n.(军)火炮,大炮,炮兵(部队)
artist	n.艺术家,美术家
artistic	a.艺术的
artwork	n.艺术品,美术品
as	ad.同样地,像prep.当做conj.当...之时,像...一样,因为
ascend	v.上升,攀登
ascending	上升的,升序
ascent	n.上升,上坡路
ascertain	v.确定,探知
ascii	美国信息交换标准码
ascites	n.腹水
ascribe	v.归因于,归咎于
asepsis	n.无菌,无菌操作
aseptic	a.无菌的,洁净的
ash	n.灰,灰烬
ashamed	a.惭愧,害臊
ashore	ad.在岸上,上岸
asia	n.亚洲
asian	a.亚洲的n.亚洲人
aside	n.旁白ad.在一边,另外
ask	v.问,要求
asleep	a.睡熟了的,麻木的ad.熟睡地
aspect	n.方面,外貌,外观
aspiration	n.热望,渴望
aspire	v.热望,立志
aspirin	n.阿斯匹林
assassinate	v.暗杀
assassination	n.暗杀
assault	n.攻击,突袭v.袭击,突袭
assemble	v.聚集,集合,装配
assembled	安装的,组给的
assembler	汇编程序
assembly	n.集合,集会,装配
assert	v.主张,声明,断言
assertion	n.断言,主张
assess	v.估定,评定
assessment	n.估价,评估
assessor	n.估计财产的人,确定税款的人
asset	n.资产,有用的东西,优点,长处
assets	n.资产
assign	v.分配,指派n.[计算机]DOS命令将驱动器符重指向第二个驱动器符
assigned	v.分配(转让,把...归因于)a.给定的(赋予的,已知的)
assignment	n.分配,功课,任务,被指定的(课外)作业;(分派的)任务,委派
assimilate	v.使...同化,比较,比拟
assimilation	n.同化,同化作用,消化
assist	n.帮助,协助v.协助
assistance	n.帮助,援助
assistant	形：助理的；辅助的。名：助手助理；助教，店员
associate	n.同伴,伙伴v.联合,联想a.副的
association	n.联合,结合,交往,协会,社团
associative	a.联合的(相关的,协会的)
assorted	a.配合的,组合的,各色俱备的
assortment	n.分类,配合,各色俱备之物
assume	vt.假定,设想,承担
assumed	假定的
assumption	n.假定,设想
assurance	n.保证,确信,保险
assure	v.保证,确告,担保
assured	a.确实的,确定的v.保证,确实vbl.保证,确实
asterisk	n.星号(*)
astigmatism	n.散光
astonish	v.使...惊讶
astonishing	a.可惊异的
astound	v.惊骇,使...大吃一惊
astronaut	n.宇航员
astronomer	n.天文学家
astronomy	n.天文学
astute	a.机敏的,狡猾的
asylum	n.庇护,收容所
asynchronous	adj.异步的
at	prep.在
atherosclerosis	n.动脉硬化
athlete	n.运动员
athletic	a.运动的
atlantic	a.大西洋的n.大西洋
atlas	n.地图集
atmosphere	n.大气,气氛
atmospheric	a.大气的
atom	n.原子
atomic	a.原子的,原子能的
attach	v.附上,系上,贴上,使依恋
attached	附加的
attachment	n.附件,附著,附属物,依恋
attack	n.攻击,评击v.攻击,动手,疾病发作
attain	v.达到,获得
attempt	v.&n.企图,试图vt.尝试,试图
attend	v.参加,注意,照料
attendance	n.出席
attendant	a.伴随的n.服务员
attention	n.注意,(口令)立正!
attentive	a.注意的,留意的
attenuation	衰减
attenuator	衰减器
attestation	n.证据,证明,证实
attitude	n.态度,看法,姿势
attorney	n.律师
attract	v.吸引,有吸引力
attraction	a.有吸引力的n.吸引,吸引力
attractive	a.有吸引力的,引起注意的
attributable	a.可归于...的
attribute	n.属性,特征v.归于,属于
auction	拍卖
audible	a.听得见的
audience	n.听众,观众
audio	a.成音频率的,声音的
audit	n.查帐,审计v.审计,旁听
auditing	n.审计,查账,决算
audition	n.听,听力,试听
auditorium	n.礼堂
augend	被加数
augment	v.增加,增大
august	n.八月a.威严的,尊严的
aunt	n.伯母,姑,婶,姨
aural	a.耳的,听觉的
aureomycin	n.金霉素
auscultation	n.听诊
australia	n.澳大利亚
australian	a.澳大利亚的n.澳大利亚人
authentic	a.可靠的,可信的,真的,真正的
authentication	n.证明,鉴定
authenticator	认证器
author	n.作者vt.创造,写作
authoring	创作
authoritarian	a.独裁的,独裁主义的
authoritative	a.权威性的,命令式的
authority	n.权力,权威,当局
authorization	n.授权,认可
authorize	v.授权与,批准,委托代替
authorized	a.经认可的,审定的,经授权的
auto	n.自动(=automobile)汽车
autoindex	自动变址,自动索引
automata	自动操作,自动控制
automatic	n.自动的机器a.自动的,无意识的
automatically	a.不经思索的ad.自动地
automation	n.自动化
automaton	n.自动机器,机器人
automobile	n.汽车
autonomic	a.自治的,自律的
autonomy	n.自治
autumn	n.秋季,秋天
auxiliary	n.帮助者,辅助物,助动词a.附加的,辅助的
avail	v.有用,有利
availability	n.有效,有用,有益
available	a.可用的,有效的
avalanche	n.雪崩
avenue	n.林荫道,大街
average	n.平均,平均数a.一般的,通常的,平均的v.平均
avert	v.转开,避免,防止
aviation	n.航空
avoid	v.避免vt.避免,逃避
avoidable	a.可避免的
await	v.等候,准备...以待
awake	a.醒的v.唤醒,唤起,醒来
award	n.奖,奖品v.授予,给予vt.授予
aware	a.知道的,意识到的
away	ad.远离,离开
awe	n.敬畏
awful	a.可怕的,壮严的
awfully	ad.可怕地,非常地,极端地
awkward	a.笨拙的a.尴尬的
ax	n.斧子vt.用斧砍
axe	n.斧vt.用斧砍
axis	n.轴
babble	v.呀呀学语,喋喋不休
baby	a.(形容用法)婴儿的n.婴儿
bachelor	n.单身汉,学士
back	a.后面的v.后退ad.向后地n.后背,背脊
backbone	n.脊椎,志气
backdrop	n.背景幕,背景
background	n.背景
backlight	背后照明灯
backlog	n.积累(积压待办事项)vi.把...积压起来
backplane	底板
backslash	反斜线符号
backspace	退格
backtrack	回溯
backup	n.后援v.把...做备份n.[计算机]DOS命令:备份,将文件从一个磁盘复制到另一个磁盘上
backward	a.向后的ad.向后
backwards	a.落后的,向后的ad.向后
bacon	n.咸肉,熏肉
bacteria	n.细菌
bacteriology	n.细菌学
bacterium	n.细菌
bad	a.坏的
badge	n.徽章
badly	ad.严重地,恶劣地,极度地
badminton	n.羽毛球
baffle	v.困惑,为难
bag	n.包v.把...装入袋中,猎杀,占有vt.把...装进袋子
baggage	n.行李
bail	n.保释,把手,杓v.保释,汲水
bait	n.饵v.以饵引诱
bake	v.烘焙,烤
baker	n.面包师
bakery	n.面包店
balance	n.天平,平衡,差额v.平衡
balcony	n.阳台
bald	a.秃头的
ball	n.球,舞会vt.把...捏成球状
ballet	n.芭蕾舞
balloon	n.气球v.如气球般膨胀
ballooning	n.气球的操纵
ballot	n.投票,投票用纸
bamboo	a.用竹子制的n.竹
ban	n.禁令v.禁止vt.禁止,取缔
banana	n.香蕉
band	n.带子,队,乐队v.联合,结合
bandage	n.绷带
bandit	n.强盗
bandwidth	n.频带宽度(通带宽度)
bang	n.重击,突然巨响,刘海v.发巨响,重击,剪成刘海ad.砰然地,突然巨响地,直接地
banish	v.驱逐
bank	n.银行,堤,岸
banker	n.银行家
banking	n.银行业
bankrupt	a.破产的n.破产者v.使破产
bankruptcy	n.破产
banner	n.旗帜,横幅
banquet	n.宴会vi.宴请vt.宴会,设宴
bar	n.条,棒,横木,酒吧v.禁止,阻挠
barbecue	n.烤肉v.烤肉
barber	n.理发师
bare	a.赤裸的,极少的v.使赤裸,露出
barely	ad.仅仅,勉强
bargain	n.交易,买卖,物美价廉的东西v.议价,交易,讨价还价
bark	n.树皮v.吠,叫
barn	n.谷仓,牲口棚
barometer	n.气压计,晴雨表
barrel	n.枪管,炮管,桶vi.快速移动vt.把...装桶
barren	a.不育的,贫瘠的
barricade	v.防卫工事,障碍
barrier	n.界线,屏障,障碍物v.以屏障隔开
barter	n.物物交换,实物交易v.物物交换,交换
basal	a.基础的,基本的
base	n.基底,垒v.以...作基础
baseball	n.棒球
baseband	基带
baseline	基线
basement	n.地下室
basic	n.基本,要素a.基本的,碱性的[计]BASIC语言,基本高级语言
basically	ad.基本上,主要地
basin	n.盆,脸盆,盆地
basis	n.基础,根据
basket	n.篮子
basketball	n.篮球
bass	n.低音
bat	n.蝙蝠,球棒n.[计算机]DOS文件名:批文件
batch	n.一次所烘的面包,一次所制之量,一组n.批,成批,分批
bath	巴斯(英国城市),洗澡,浴盆v.洗澡,给…洗澡
bathe	v.沐浴,用水洗
bathroom	n.浴室
batter	n.打击手v.打坏
battery	n.电池
battle	n.战争
baud	波特
bay	n.海湾
be	prep.是,有,在
beach	n.海滩v.拖(船)上岸vt.使船冲上滩
beacon	n.烟火,灯塔
bead	n.珠子,滴
beam	n.光线,电波,横梁,容光焕发v.微笑,闪亮
bean	n.豆
beans	pl.豆,豆形果实
bear	n.熊v.忍受,负荷v.结果实,生子女
beard	n.胡须
bearer	承木,垫块托架,托梁,木托楼梯平台之承木板条脚手架横梁
bearing	n.举止,轴承,联系
bearish	a.如熊的,粗暴的
beast	n.畜牲
beat	n.打,敲打声,拍子v.打,打败
beautician	n.美容师
beautiful	a.美丽的，漂亮的
beauty	n.美,美丽,美人,美的东西
because	conj.因为
become	v.变成,变得vbl.变得
bed	n.床v.安置,把...栽入苗床
bedroom	n.卧室adj.性感的
bee	n.蜜蜂
beef	n.牛肉v.抱怨,诉苦
beep	n.哔哔声
beeper	n.导弹遥控员(雷达遥控装置)
beer	n.啤酒
beetroot	n.甜菜根
befit	v.适合,适宜,合式
before	a.以前,在...以前ad.以前prep.&conj.在...以前
beforehand	ad.预先,事先
beg	v.请求,乞求
beggar	n.乞丐vt.使贫穷
begin	开始
beginner	n.初学者
beginning	n.开始,开端
behalf	n.利益
behave	v.举止,行为,举止端正
behavior	n.行为,举止
